ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
4210	Saudi Research and Media Group	Media and Entertainment	83	74	-	58.65	-0.7%	-22.0%	-64.9%	down:44,5	down:350,5	down:116,5	233	227.7%	594	-	-	-	red	-45%	-36%
4220	Emaar The Economic City	Real Estate Mgmt & Dev't	54	199	470.0	9.81	4.4%	-3.4%	-21.3%	down:43,15	down:359,114	down:974,114	227	43.6%	485	-	-	-	-	+65%	-19%
4230	Red Sea International Co.	Real Estate Mgmt & Dev't	165	28	-	23.73	2.4%	2.1%	-44.7%	down:9,3	down:271,114	down:94,88	224	93.0%	447	-	126	50%	-	-31%	-64%
4240	AFG International Co.	Consumer Discretionary Distribution & Retail	147	53	-	17.87	47.3%	42.7%	-21.7%	up:1,*	down:110,8	down:64,8	122	66.5%	276	-	-	-	-	+182%	+38%
4250	Jabal Omar Development Co.	Real Estate Mgmt & Dev't	29	14	12.0	18.79	17.4%	28.9%	0.6%	up:31,*	flat	down:446,112	81	5.0%	600	-	-	-	green,green	-41%	+44%
4260	United International Transportation Co.	Transportation	102	50	9.7	30.82	10.9%	-6.3%	-41.8%	flat	down:193,11	down:15,11	187	88.6%	498	-	-	-	-	-39%	+70%
4261	Theeb Rent a Car Co.	Transportation	141	69	8.5	20.73	-6.4%	-17.7%	-49.4%	down:187,5	down:322,5	down:126,5	222	109.6%	440	-	-	-	red,red	+9%	+74%
4262	Lumi Rental Co.	Transportation	140	160	8.4	27.84	-0.8%	-17.7%	-55.0%	down:70,9	down:477,9	flat	169	132.2%	602	-	-	-	red,red	-7%	+100%
4263	SAL Saudi Logistics Services Co.	Transportation	40	36	19.7	169.1	-2.2%	2.5%	-0.7%	down:2,1	flat	flat	102	9.6%	524	-	333	52%	-	-58%	+45%
4264	Flynas Co.	Transportation	53	48	-	49.28	0.1%	-2.8%	-38.4%	down:26,7	down:39,7	flat	143	64.6%	286	-	-	-	-	+5%	+4%
4265	Cherry Trading Co.	Transportation	196	193	9.9	23.75	1.2%	-3.9%	-	down:67,23	flat	flat	96	29.7%	130	-	-	-	-	+56%	+1%
4270	Saudi Printing and Packaging Co.	Commercial & Professional Svc	212	130	-	7.82	-12.1%	6.8%	-34.2%	up:17,12	down:244,112	down:861,112	140	51.9%	1284	-	-	-	-	-53%	+210%
4280	Kingdom Holding Co.	Financial Services	18	45	22.9	14.04	15.6%	23.2%	83.0%	up:19,2	up:105,57	up:74,57	4	9.5%	57	-	-	-	-	-22%	+75%
4290	Alkhaleej Training and Education Co.	Consumer Services	183	182	88.0	14.97	13.4%	0.5%	-33.6%	flat	down:185,15	down:47,15	193	96.3%	598	-	-	-	-	+51%	+26%
4291	National Company for Learning and Education	Consumer Services	72	185	26.2	142.0	12.0%	22.9%	-15.6%	up:15,11	flat	flat	37	28.3%	424	-	-	-	-	-68%	+275%
4292	Ataa Educational Co.	Consumer Services	134	197	22.0	43.58	-3.0%	-15.0%	-32.5%	down:73,23	down:187,23	down:29,23	250	59.4%	649	-	-	-	-	-49%	-7%
4300	Dar Alarkan Real Estate Development Co.	Real Estate Mgmt & Dev't	28	77	16.7	20.51	11.5%	19.6%	3.2%	up:36,1	up:35,1	up:489,333	1	0.1%	1	-	-	-	-	+65%	-13%
4310	Knowledge Economic City	Real Estate Mgmt & Dev't	79	105	-	18.07	20.9%	55.8%	43.1%	up:42,1	up:11,1	down:260,105	39	0.2%	1	-	-	-	green,green	-13%	-4%
4320	Alandalus Property Co.	Real Estate Mgmt & Dev't	145	242	-	14.66	-3.2%	-1.8%	-20.3%	up:13,12	down:324,26	down:81,26	130	42.6%	598	-	-	-	-	-36%	-25%
4321	Arabian Centres Co.	Real Estate Mgmt & Dev't	59	120	5.9	16.28	4.6%	-4.5%	-22.0%	down:28,15	down:171,15	down:189,15	208	42.5%	224	-	-	-	-	+93%	+25%
4322	Retal Urban Development Co.	Real Estate Mgmt & Dev't	77	70	17.8	10.04	-1.2%	-17.5%	-23.6%	down:62,5	down:50,5	flat	158	50.5%	425	-	-	-	red	-24%	+505%
4323	Sumou Real Estate Co.	Real Estate Mgmt & Dev't	153	227	8.6	25.78	1.4%	-8.6%	-33.0%	down:45,15	down:331,112	flat	167	57.1%	595	-	-	-	-	+4%	-3%
4324	Banan Real Estate Co.	Real Estate Mgmt & Dev't	209	253	16.6	3.03	1.3%	-4.7%	-37.3%	down:80,16	down:174,16	flat	156	59.4%	422	-	-	-	-	+24%	-45%
4325	Umm Al Qura for Development and Construction Co.	Real Estate Mgmt & Dev't	24	37	26.9	18.2	11.0%	23.3%	-20.3%	up:10,5	down:62,60	flat	60	36.5%	279	-	-	-	-	-9%	-8%
4326	Dar Al Majed Real Estate Co.	Real Estate Mgmt & Dev't	133	119	9.6	6.51	2.8%	-13.2%	-	down:122,6	flat	flat	101	80.5%	208	-	-	-	-	+119%	+56%
4327	Alramz Real Estate Co.	Real Estate Mgmt & Dev't	120	140	7.4	50.8	-2.8%	-6.1%	-	down:33,5	flat	flat	97	35.3%	135	-	-	-	red	-24%	+175%
4330	Riyad REIT Fund	REITs	185	262	-	4.83	1.0%	-2.0%	-9.0%	down:31,1	down:594,1	down:717,1	257	13.5%	990	-	-	-	-	+31%	-12%
4331	AlJazira REIT	REITs	267	259	18.3	11.14	-1.8%	2.3%	-16.8%	flat	down:570,112	down:553,112	197	23.8%	778	-	-	-	-	+15%	-81%
4332	Jadwa REIT Al Haramain Fund	REITs	251	269	12.1	4.97	2.5%	2.7%	-5.1%	flat	down:311,102	down:1033,102	198	5.8%	785	-	-	-	-	+25%	+289%
4333	Taleem REIT Fund	REITs	221	263	15.7	10.48	0.9%	-1.5%	8.5%	down:15,9	up:58,43	down:812,290	115	4.3%	43	-	409	72%	-	-64%	+91%
4334	AL Maather REIT Fund	REITs	218	267	16.2	8.82	-1.2%	-1.9%	-2.1%	down:2,1	down:2,1	flat	145	5.2%	331	-	173	40%	-	+87%	+133%
4335	Musharaka REIT Fund	REITs	254	266	-	3.44	0.6%	-13.8%	-18.7%	down:97,7	down:118,7	down:903,7	267	30.8%	1271	-	-	-	red	-73%	+77%
4336	Mulkia Gulf Real Estate REIT	REITs	227	268	-	4.48	-2.0%	-2.0%	-4.5%	down:10,1	down:1043,113	down:929,113	269	9.4%	1276	-	-	-	-	-21%	-39%
4337	AL AZIZIAH REIT Fund	REITs	257	271	-	4.65	-2.3%	-10.2%	9.4%	down:26,*	up:124,95	flat	49	18.9%	95	-	-	-	-	+528%	-15%
4338	AlAhli REIT Fund 1	REITs	177	265	50.4	6.92	5.6%	7.8%	-1.0%	up:25,3	flat	down:721,114	87	1.3%	1219	-	-	-	green	-8%	+108%
4339	Derayah REIT Fund	REITs	213	250	66.1	5.26	-0.6%	-0.8%	-4.4%	down:17,1	down:3,1	down:758,144	265	9.1%	1255	-	-	-	-	+207%	+2%
4340	Al Rajhi REIT Fund	REITs	121	235	14.9	7.91	-2.0%	-3.8%	-3.1%	down:21,1	down:11,1	down:739,144	266	5.9%	1259	-	-	-	-	-34%	+57%
4342	Jadwa REIT Saudi Fund	REITs	132	184	34.0	9.88	-3.0%	-11.3%	-3.0%	down:49,1	down:13,1	down:484,1	205	18.4%	115	-	-	-	red,red	-47%	+43%
4344	SEDCO Capital REIT Fund	REITs	143	241	18.3	7.25	-5.8%	-6.6%	9.0%	down:11,1	up:61,30	down:710,174	112	12.0%	30	-	-	-	-	-10%	+44%
4345	Alinma Retail REIT Fund	REITs	217	243	-	4.6	-2.5%	-5.1%	2.0%	down:9,1	up:61,34	down:1004,142	113	8.5%	34	-	422	41%	-	+119%	-15%
4346	MEFIC REIT Fund	REITs	261	270	-	3.31	-0.3%	-4.1%	-11.0%	down:92,5	down:574,5	down:940,5	238	15.4%	600	-	-	-	red	-29%	+55%
4347	Bonyan REIT Fund	REITs	138	238	15.9	9.85	-3.0%	0.8%	8.2%	down:6,5	up:103,32	up:47,32	24	3.2%	32	-	-	-	-	-80%	+44%
4348	Alkhabeer REIT Fund	REITs	187	255	21.3	5.62	-2.1%	-1.9%	-0.5%	down:12,1	down:4,1	down:849,112	270	3.9%	1277	-	311	31%	-	-67%	-18%
4349	Alinma Hospitality REIT Fund	REITs	184	214	16.8	7.88	-2.1%	-4.1%	-3.3%	down:26,1	down:12,1	flat	174	6.4%	654	-	-	-	red	+180%	+28%
4350	Alistithmar AREIC Diversified REIT Fund	REITs	237	258	-	6.81	-1.7%	-3.4%	-15.5%	down:14,10	down:207,10	flat	162	23.8%	474	-	432	22%	red	-67%	-45%
4700	Al Khabeer Diversified Income Traded Fund	Closed-End Fund	-	272	-	4.74	-1.0%	-1.7%	-17.0%	down:5,*	down:373,*	down:392,*	272	21.9%	1390	All-Time Low	-	-	-	-8%	-49%
4702	Al Khabeer Diversified Income Traded Fund 2030	Closed-End Fund	-	261	-	7.4	-3.6%	-0.4%	-4.2%	flat	down:68,53	flat	109	8.6%	524	-	-	-	-	-50%	+39%
4703	SEDCO Capital Multi Asset Traded Fund	Closed-End Fund	-	264	-	6.64	0.0%	4.9%	4.4%	up:1,*	down:69,62	flat	56	9.0%	145	-	467	51%	-	+179%	-40%
5110	Saudi Energy Co.	Utilities	10	49	14.7	16.96	0.1%	1.9%	15.8%	down:4,3	up:79,43	down:656,114	114	8.3%	43	-	-	-	-	-30%	+32%
6001	Halwani Bros. Co.	Food & Beverages	167	231	23.5	32.24	3.7%	4.3%	-29.1%	up:1,*	down:356,113	down:702,113	124	41.1%	474	-	-	-	-	-67%	-43%
6002	Herfy Food Services Co.	Consumer Services	178	215	-	15.43	12.7%	4.0%	-33.4%	up:6,5	down:577,112	down:979,112	138	52.2%	1192	-	-	-	-	-63%	+37%
6004	CATRION Catering Holding Co.	Commercial & Professional Svc	69	95	17.9	71.9	3.1%	-1.9%	-30.1%	flat	down:270,14	down:100,14	194	43.1%	600	-	-	-	-	-60%	+42%
