symbol,date,open,high,low,close,change,change_percent,volume_traded,value_traded_sar,no_of_trades
4083,2025-11-06,56.14,57.74,56.14,57.01,0.73,1.3,99156.0,5647528.8,562.0
4083,2025-11-05,57.34,57.38,56.04,56.28,-1.16,-2.02,71962.0,4076556.9,594.0
4083,2025-11-04,58.01,58.11,57.01,57.44,-0.67,-1.15,71638.0,4123879.2,527.0
4083,2025-11-03,57.48,58.34,56.94,58.11,0.3,0.52,167243.0,9660906.6,652.0
4083,2025-11-02,56.34,58.24,56.34,57.81,0.67,1.17,230974.0,13324810.0,559.0
4083,2025-10-30,57.34,58.31,56.68,57.14,-0.47,-0.82,175173.0,10066375.6,883.0
4083,2025-10-29,56.81,57.68,56.51,57.61,0.87,1.53,202994.0,11633923.9,1354.0
4083,2025-10-28,56.61,56.81,56.01,56.74,0.43,0.76,86960.0,4902513.9,798.0
4083,2025-10-27,56.58,56.78,56.14,56.31,-0.57,-1.0,244538.0,13796410.1,1089.0
4083,2025-10-26,56.28,56.91,56.21,56.88,0.6,1.07,71425.0,4047580.6,516.0
4083,2025-10-23,55.01,56.51,55.01,56.28,1.27,2.31,108655.0,6074812.4,758.0
4083,2025-10-22,55.24,55.51,54.94,55.01,-0.23,-0.42,44084.0,2434566.6,370.0
4083,2025-10-21,56.94,56.94,55.14,55.24,-0.94,-1.67,67061.0,3721174.8,517.0
4083,2025-10-20,56.91,57.18,55.34,56.18,-0.73,-1.28,216732.0,12190255.5,1149.0
4083,2025-10-19,57.04,57.34,56.71,56.91,-0.13,-0.23,81417.0,4638547.1,536.0
4083,2025-10-16,57.34,57.38,56.64,57.04,-0.34,-0.59,83540.0,4758259.0,509.0
4083,2025-10-15,57.68,57.68,56.91,57.38,0.1,0.17,70909.0,4062324.0,465.0
4083,2025-10-14,57.34,57.74,57.21,57.28,-0.06,-0.1,76059.0,4364935.3,478.0
4083,2025-10-13,57.41,58.48,57.11,57.34,-0.04,-0.07,248677.0,14296098.1,971.0
4083,2025-10-12,56.68,57.68,55.34,57.38,-0.5,-0.86,167296.0,9566594.9,543.0
4083,2025-10-09,58.41,58.84,57.74,57.88,-0.83,-1.41,218163.0,12692970.9,936.0
4083,2025-10-08,57.68,59.64,57.68,58.71,0.63,1.08,581671.0,34187152.5,2503.0
4083,2025-10-07,56.68,59.04,56.51,58.08,4.41,8.22,2245464.0,130700411.8,5351.0
4083,2025-10-06,53.47,54.51,53.47,53.67,0.0,0.0,136971.0,7396553.9,685.0
4083,2025-10-05,53.87,54.34,53.54,53.67,0.33,0.62,119742.0,6458807.9,479.0
4083,2025-10-02,53.84,54.01,53.27,53.34,-0.5,-0.93,60963.0,3272221.0,386.0
4083,2025-10-01,53.17,54.01,53.01,53.84,0.5,0.94,95613.0,5125548.6,539.0
4083,2025-09-30,53.74,54.51,53.34,53.34,-0.43,-0.8,223664.0,12059238.7,903.0
4083,2025-09-29,53.17,53.81,53.17,53.77,0.1,0.19,81702.0,4380242.3,543.0
4083,2025-09-28,53.34,53.67,53.07,53.67,0.16,0.3,21408.0,1143381.8,236.0
4083,2025-09-25,53.97,54.07,52.81,53.51,-0.2,-0.37,158655.0,8471753.7,745.0
4083,2025-09-24,52.27,54.01,52.27,53.71,1.44,2.75,147661.0,7892159.1,995.0
4083,2025-09-22,52.67,53.01,52.24,52.27,-0.74,-1.4,39156.0,2061336.0,283.0
4083,2025-09-21,53.14,53.67,52.47,53.01,-0.16,-0.3,83261.0,4423516.2,431.0
4083,2025-09-18,53.51,53.51,52.74,53.17,-0.17,-0.32,135423.0,7196749.6,800.0
4083,2025-09-17,53.67,53.67,52.71,53.34,0.0,0.0,114613.0,6097573.0,519.0
4083,2025-09-16,53.31,53.67,52.31,53.34,1.33,2.56,174222.0,9244871.4,1073.0
4083,2025-09-15,49.41,52.67,49.34,52.01,2.6,5.26,269350.0,13822445.2,1405.0
4083,2025-09-14,48.81,50.77,47.87,49.41,1.07,2.21,531705.0,26146248.9,1046.0
4083,2025-09-11,48.01,48.34,47.67,48.34,0.33,0.69,1069346.0,51354865.9,400.0
4083,2025-09-10,49.07,49.07,47.81,48.01,-0.26,-0.54,63071.0,3030829.9,520.0
4083,2025-09-09,48.67,48.97,48.01,48.27,-0.4,-0.82,131332.0,6354578.9,591.0
4083,2025-09-08,48.91,49.11,48.47,48.67,-0.24,-0.49,43661.0,2128998.4,383.0
4083,2025-09-07,49.61,49.61,48.81,48.91,-0.43,-0.87,45542.0,2233262.1,320.0
4083,2025-09-04,49.44,49.64,49.01,49.34,-0.17,-0.34,67397.0,3323100.3,357.0
4083,2025-09-03,49.74,50.01,49.07,49.51,-0.16,-0.32,70987.0,3517252.2,442.0
4083,2025-09-02,50.54,50.54,49.21,49.67,-0.87,-1.72,92902.0,4610390.9,611.0
4083,2025-09-01,51.31,51.34,50.44,50.54,-0.73,-1.42,99708.0,5057662.7,616.0
4083,2025-08-31,52.34,52.61,51.07,51.27,-1.14,-2.18,51430.0,2654494.6,267.0
4083,2025-08-28,52.37,52.81,52.37,52.41,0.04,0.08,11116.0,583370.8,171.0
4083,2025-08-27,53.01,53.01,52.34,52.37,-0.64,-1.21,23531.0,1238354.8,193.0
4083,2025-08-26,52.67,53.01,52.01,53.01,0.5,0.95,66467.0,3496675.9,330.0
4083,2025-08-25,53.44,53.51,52.31,52.51,-0.83,-1.56,41760.0,2207033.8,254.0
4083,2025-08-24,52.74,53.67,52.74,53.34,0.73,1.39,88514.0,4711158.4,426.0
4083,2025-08-21,52.84,53.14,52.31,52.61,-0.2,-0.38,38064.0,2001586.1,232.0
4083,2025-08-20,51.91,52.94,51.91,52.81,0.9,1.73,111031.0,5835167.4,461.0
4083,2025-08-19,51.77,52.21,51.51,51.91,0.4,0.78,27434.0,1423527.0,293.0
4083,2025-08-18,52.61,52.61,51.41,51.51,-0.93,-1.77,43190.0,2237543.5,381.0
4083,2025-08-17,51.94,52.61,51.87,52.44,0.1,0.19,40200.0,2100563.4,226.0
4083,2025-08-14,51.01,52.34,50.81,52.34,1.43,2.81,72352.0,3725150.3,669.0
4083,2025-08-13,52.61,52.61,50.77,50.91,-0.9,-1.74,70678.0,3618043.6,589.0
