Symbol,Company,Suspended,Delisted,Close Price,Issued Shares,Net Income,Shareholders Equity,Market Cap,Market Cap %,EPS,P/E Ratio,Book Value,P/B Ratio
2210,NAMA CHEMICALS,True,False,18.74,23.52,,,440.76,,,,,
2220,MAADANIYAH,False,False,12.69,35.4,-21.38,217.92,449.23,,-0.604,,6.15,2.06
2223,LUBEREF,False,False,137.9,168.75,1380.68,4967.79,23270.63,0.24,8.182,16.854,29.43,4.68
2240,SENAAT,False,False,27.86,60.0,106.21,527.47,1671.6,0.02,1.77,15.738,8.79,3.16
2250,SIIG,False,False,12.52,679.32,52.0,8782.0,8505.09,0.09,0.077,163.559,12.92,0.96
2290,YANSAB,False,False,33.98,562.5,291.2,10468.5,19113.75,0.2,0.518,65.637,18.61,1.82
2300,SPM,False,False,63.5,37.07,116.61,645.45,2353.95,0.02,3.146,20.186,17.41,3.64
2310,SIPCHEM,False,False,13.35,733.333,-1693.8,12821.3,9790.0,0.1,-2.31,,17.48,0.76
2330,ADVANCED,False,False,24.86,260.0,5.0,2889.0,6463.6,0.07,0.019,1292.72,11.11,2.23
2350,SAUDI KAYAN,False,False,5.25,1500.0,-2309.12,7904.57,7875.0,0.08,-1.539,,5.26,0.99
2360,SVCP,False,False,21.55,15.0,-35.92,45.43,323.25,,-2.395,,3.02,7.11
3002,NAJRAN CEMENT,False,False,5.61,170.0,26.99,2046.94,953.7,0.01,0.159,35.335,12.04,0.46
3003,CITY CEMENT,False,False,10.24,140.0,85.78,1807.47,1433.6,0.01,0.613,16.712,12.91,0.79
3004,NORTHERN CEMENT,False,False,7.1,180.0,66.18,2293.18,1278.0,0.01,0.368,19.31,12.73,0.55
3005,UACC,False,False,12.41,55.0,62.39,896.47,682.55,0.01,1.134,10.94,16.29,0.76
3007,OASIS,False,False,2.87,225.0,41.64,321.23,645.75,0.01,0.185,15.507,1.42,2.01
3008,ALKATHIRI,False,False,1.27,226.044,-49.66,56.26,287.08,,-0.22,,0.24,5.1
3010,ACC,False,False,21.82,100.0,211.3,2562.0,2182.0,0.02,2.113,10.326,25.62,0.85
